Account Name,Account Type,Account Number,Parent Account
OPERATING ACCOUNT,Bank,0-11000,CASH
CAPITAL ACCOUNT,Bank,0-11005,CASH
MANAGER'S ACCOUNT,Bank,0-11010,CASH
PETTY CASH,Bank,0-11015,CASH
CASH DRAWER - TILL,Bank,0-11020,CASH
CASH DRAWER - F&B TILL,Bank,0-11021,CASH
MONEY MARKET,Bank,0-11500,CASH
DEPOSITS IN TRANSIT,Bank,0-11900,CASH
A/R - MEMBERS & CONTRACTS,Other Current Asset,0-12000,ACCOUNTS RECEIVABLE
A/R - EMPLOYEE,Other Current Asset,0-12005,ACCOUNTS RECEIVABLE
ALLOWANCE FOR DOUBTFUL ACCOUNTS,Other Current Asset,0-12900,ACCOUNTS RECEIVABLE
DUE TO / FROM MEADOW LAKE LLC,Other Current Asset,0-14500,DUE TO/FROM AFFILIATES
DUE TO / FROM PINECREST,Other Current Asset,0-14505,DUE TO/FROM AFFILIATES
DUE TO / FROM ISLAND WEST,Other Current Asset,0-14510,DUE TO/FROM AFFILIATES
INVENTORY - CHEMICALS,Other Current Asset,0-15000,INVENTORY
INVENTORY - FERTILIZER,Other Current Asset,0-15005,INVENTORY
INVENTORY - SEED,Other Current Asset,0-15010,INVENTORY
INVENTORY - GRILL ROOM,Other Current Asset,0-15015,INVENTORY
INVENTORY - LIQUOR,Other Current Asset,0-15016,INVENTORY
INVENTORY - PRO SHOP,Other Current Asset,0-15020,INVENTORY
PREPAID EXPENSE,Other Current Asset,0-14000,PREPAID EXPENSES
LAND,Fixed Asset,0-17000,PROPERTY & EQUIPMENT
BUILDING,Fixed Asset,0-17005,PROPERTY & EQUIPMENT
EQUIPMENT,Fixed Asset,0-17010,PROPERTY & EQUIPMENT
FURNITURE & FIXTURES,Fixed Asset,0-17015,PROPERTY & EQUIPMENT
COMPUTERS & OFFICE EQUIPMENT,Fixed Asset,0-17020,PROPERTY & EQUIPMENT
ACCUMULATED DEPRECIATION,Fixed Asset,0-17500,PROPERTY & EQUIPMENT
OTHER IMPROVEMENTS,Fixed Asset,0-17050,PROPERTY & EQUIPMENT
GOLF SHOP-CAPITAL IMPRVMNT,Fixed Asset,1-17050,PROPERTY & EQUIPMENT
RANGE-CAPITAL IMPRVMNT,Fixed Asset,1-17055,PROPERTY & EQUIPMENT
FOOD & BEV-CAPITAL IMPRVMNT,Fixed Asset,3-17050,PROPERTY & EQUIPMENT
MAINTENANCE LAND-CAP IMPRVMNT,Fixed Asset,4-17050,PROPERTY & EQUIPMENT
