Account Number,Account Name,Account Type,Suggested Report Line,Report Section
"0-24000","DEFERRED INCOME - MONTHLY DUES","Other Current Liability","DUES","UNKNOWN"
"1-40005","GOLF MONTHLY DUES","Income","DUES","COURSE_REVENUES"
"1-40010","GOLF ANNUAL DUES","Income","DUES","COURSE_REVENUES"
"1-40015","GOLF WEEKDAY DUES","Income","DUES","COURSE_REVENUES"
"1-40020","GOLF CORPORATE DUES","Income","DUES","COURSE_REVENUES"
"1-40025","SEASONAL FLEX MEMBER DUES","Income","DUES","COURSE_REVENUES"
"1-40030","SWIM/TENNIS DUES","Income","DUES","COURSE_REVENUES"
"1-40035","OTHER","Income","DUES","COURSE_REVENUES"
"1-40050","ANNUAL PASSES - FY NET ADJ","Income","DUES","COURSE_REVENUES"
"1-40051","ANNUAL PASSES - SY NET ADJ","Income","DUES","COURSE_REVENUES"
"1-70270","DUES & SUBSCRIPTIONS - PS","Expense","DUES","EXPENSES"
"3-70270","DUES & SUBSCRIPTIONS - F&B","Expense","DUES","EXPENSES"
"4-70270","DUES & SUBSCRIPTIONS - MAINT","Expense","DUES","EXPENSES"
"8-70270","DUES & SUBSCRIPTIONS","Expense","DUES","EXPENSES"
"0-24025","DEFERRED INCOME - CART","Other Current Liability","CART","UNKNOWN"
"0-75000","CART LEASE","Other Expense","CART","UNKNOWN"
"1-40190","18 HOLE CART FEE","Income","CART","COURSE_REVENUES"
"1-40195","9 HOLE CART FEE","Income","CART","COURSE_REVENUES"
"1-40200","CART SPECIAL PLAY PASSES","Income","CART","COURSE_REVENUES"
"1-40205","MEMBER CART 18 WEEKDAY","Income","CART","COURSE_REVENUES"
"1-40210","MEMBER CART 9 WEEKDAY","Income","CART","COURSE_REVENUES"
"1-40215","PULL CARTS WEEKDAY","Income","CART","COURSE_REVENUES"
"1-40240","FREQUENT CART PLAN","Income","CART","COURSE_REVENUES"
"1-40250","FREQUENT CART PLAN - FY NET ADJ","Income","CART","COURSE_REVENUES"
"1-40251","FREQUENT CART PLAN - SY NET ADJ","Income","CART","COURSE_REVENUES"
"1-41190","HALF CART 18 WEEKEND","Income","CART","COURSE_REVENUES"
"1-41195","HALF CART 9 WEEKEND","Income","CART","COURSE_REVENUES"
"1-41200","CART SPECIAL WEEKEND","Income","CART","COURSE_REVENUES"
"1-41205","MEMBER CART 18 WEEKEND","Income","CART","COURSE_REVENUES"
"1-41210","MEMBER CART 9 WEEKEND","Income","CART","COURSE_REVENUES"
"1-41215","PULL CART WEEKEND","Income","CART","COURSE_REVENUES"
"1-60030","WAGES - CARTS","Expense","CART","EXPENSES"
"1-70120","CART RENTAL","Expense","CART","EXPENSES"
"3-45500","BEVERAGE CART FOOD","Income","CART","COURSE_REVENUES"
"3-45505","BEVERAGE CART LIQUOR","Income","CART","COURSE_REVENUES"
"3-45510","BEVERAGE CART BEER","Income","CART","COURSE_REVENUES"
"3-45515","BEVERAGE CART WINE","Income","CART","COURSE_REVENUES"
"3-60115","WAGES - BEVERAGE CART","Expense","CART","EXPENSES"
"3-70100","BEVERAGE CART LEASE","Expense","CART","EXPENSES"
"4-70862","REPAIRS & MAINTENANCE - CART PATH","Expense","CART","EXPENSES"
"1-70660","MERCHANDISE SUPPLIES","Expense","MERCHANDISE","EXPENSES"
"2-40400","SHOES","Income","MERCHANDISE","COURSE_REVENUES"
"2-40405","MENS' WEAR","Income","MERCHANDISE","COURSE_REVENUES"
